苏美尔地名,Ur III 楔形文字,Ur III 楔形文字旋转90度，复原为BC2000之前的竖直状态,甲骨文/金文,现代汉语,"司马迁胡编的所谓的氏族

",注释
Uruk ,𒀕𒆠,,,鲁,夏后氏,
,,,,夏 /  足页,,叔夷钟铭文：翦伐夏司。  页： Lugal 
,,,,正/足/雅,,https://x.com/Kidai_0001/status/2078606495328211321?s=20
Ur,𒋀𒀕𒆠,,,殷,昆吾氏,"殳： En 𒂗 , 主/史/尹。 乌鲁克的兄弟城。 "
Eridu,𒉣𒆠,,,都,韦氏,从主（𒉣），从口（地𒆠），从邑。 凡邑有宗廟先君之主曰都，無曰邑——《左傳·莊公二十八年》。 苏美尔王表说王权（Kingship/唯王/鸟王）从天而降，第一站即是Eridu。
Bad-tibira,𒂦𒁾𒉄𒆠,,,崇,有崇氏/辛氏/高辛氏。,"𒂦 垭口，山；  𒁾表，泥板，𒉄缝 ， 字形宗。 有崇氏。 鲧为崇伯。《苏美尔王表》明确以“大洪水”为界限划分了两个 Dumuzid，这暗示了环境剧变导致氏族核心产业的转型：

洪水前（牧主）：在 Bad-tibira（山宗/垭口），其氏族的主导产业是基于高地通道的畜牧与物流（Shepherd）。

洪水后（渔主）：大洪水摧毁了原有地貌，鲧所在的氏族被迫应对水患，其核心职能全面转向治水、防洪与水系资源管理（Fisherman）。鲧作为“渔主”，与其在中国文献中主导“治水”的物理职能达到了完美的对应。王表第二站。"
Larak,𒆷𒊏𒀝𒆠,,, 斟鄩,斟寻氏,甚字形 𒆷 ，斗 𒊏， 𒀝 作， 两个手编啊编， 寻，两个手找啊找。 斟鄩。 Larak 是传说中大洪水诺亚的原形呜拉巴图图在大洪水之前的都城。 符合中国文献夏都之一的传说。苏美尔王表说王权（Kingship/唯王/鸟王）从天而降，第三站即是 Larak。
Sippar,𒌓𒄒𒉣𒆠,,,斟灌/阳翟/西河, 戡戈氏,弱水之城，  斟灌。 灌，弱字形相近。 斟灌其实是斟弱。 同时也可能是西河，阳翟。翟，弱字形相近。  幼法拉第河在Uruk西边。 王表第四站。
Shuruppak,𒋢𒆳𒊒𒆠,,, 原/老丘/帝丘,彤城氏,𒋢肉/月； 𒆳山； 𒊒入； 𒆠城。 从入， 从月，从山（小）。 原城。《竹书纪年》载“十八年迁于原”。 𒋢，帝，老字形相近。𒆳山/丘。  《古本竹书纪年》：帝宁居原，自迁于老丘。  王表第五站。苏美尔神话：王权从天而降。在以上五座古代城市中依次流转，直到大洪水将一切摧毁 。
Umma,𒄑𒆵𒆠,,,杞,杞氏,𒄑禾木； 𒆵螃蟹，龟； 𒆠土，地。 
Larsa,𒌓𒀕𒆠,,,東鲁,冥氏,𒌓： 日/白。 
Susa,𒀸𒋗𒊺𒂗,,,徐,,一手禾尹   =>  禾邑 https://x.com/Kidai_0001/status/2072543528211644546?s=20
Elam ,𒉏𒈠𒆠,,,夷,费氏,𒉏𒈠𒆠 : 𒉏 高， 大； 𒈠 弓形状；𒆠地， 土                                                              =》大， 弓，土                                                                                                       =》 夷  。 费的金文就是弗。 弗字形即是夷 。 
Girsu,𒄈𒋢𒆠,,,召,曾(缯）氏,从刀𒄈， 从月（肉𒋢），从口（地𒆠）=> 召。 
Lagash,𒉢𒁓𒆷𒆠,,,鬲,有鬲氏,石碗罐陶地 =》 有鬲氏
Nippur ,𒂗𒆤𒆠,,,防风,,"史风城， Enlil 后稷（神农）的城。 防风国， 防风氏的城。 《国语·鲁语》中记载了一个极其著名的夏代史实：

“昔禹致群神于会稽之山，防风氏后至，禹杀而戮之。”  Gilgamesh 大禹杀了Lugal of Nippur  防风氏大王。 "
Marad ,𒀫𒁕𒆠,,,穷/男,有穷氏 / 有男氏,𒀫穴字形， 𒁕力 =》 有穷氏， 𒀫壬，史记误读为田，有男氏。
Kish,𒆧𒆠,,,冀, 褒氏,"周禮曰：河內曰冀州。爾雅曰：兩河閒曰冀州。說文解字·冀
卷八 北方州也。两河流域南部的最北的一个城市， 两河之间， 正是Kish。"
Mari,𒈠𒌷𒆠,,,扈,有扈氏,𒈠户， 𒌷𒆠 邑 = 》扈 ; 有扈氏。 《尚书》有《甘誓》。大禹死，启即位，有扈氏不服，启伐有扈，大战于甘，战前作《甘誓》。  甘， kuku 𒆯𒆯 ， (KU₇.KU₇)。   今天的伊朗甜食：Sweet Kuku (Kuku Sabzi with Dates) ，一种带有椰枣的甜食。 甘之战。 Mari 城外的椰枣林之战。《史记·夏本纪》引《集解》马融曰：“甘，有扈氏南郊地名。”
Tigris,𒀀𒇉𒈦𒄘𒃼,,,河水,,https://x.com/Kidai_0001/status/2055170224895533546?s=20
Euphrates,𒌓𒄒𒉣,,,弱水,,https://x.com/Kidai_0001/status/2055170224895533546?s=20
